record_id,doi,study_site,track,intervention,climate_tag,lcz_tag,author_year,title,journal,city,country,outcome,design,source_review
B076,10.1016/j.enbuild.2015.06.047,tbd:Hoelscher et al. 2016,B,greening,,,Hoelscher et al. 2016,"Quantifying cooling effects of facade greening: Shading, transpiration and insulation",Energy and Buildings,TBD,Germany,facade greening wall cooling (shading/transpiration),field measurement,Knight et al. 2021 Environ Evid (Additional file 7)
B077,10.1016/j.enbuild.2016.05.020,not-specified:Cali_Osterhage_Streblow_Muller_2016,B,retrofit,,,Cali_Osterhage_Streblow_Muller_2016,Energy performance gap in refurbished German dwellings: lesson learned from a field test,Energy and Buildings,not specified,Germany,monitored refurbished dwellings show substantial gap between design and measured consumption,monitored field test of refurbished dwellings (M&V),Sustainability 2024 16:7792 EPG-LCA review
B078,10.1016/j.enbuild.2016.06.016,shanghai:He et al. 2016,B,greening,,,He et al. 2016,Thermal and energy performance assessment of extensive green roof in summer: A case study of a lightweight building in Shanghai,Energy and Buildings,Shanghai,China,extensive green roof summer thermal/energy performance,building field measurement,Nasr et al. 2024 Energies review (10.3390/en17205160)
B079,10.1016/j.enbuild.2016.09.056,tbd:El Bachawati et al. 2016,B,greening,,,El Bachawati et al. 2016,Real-time temperature monitoring for Traditional gravel ballasted and Extensive green roofs: A Lebanese case study,Energy and Buildings,TBD,Lebanon,green roof vs gravel roof temperature reduction,paired roof real-time monitoring,Nasr et al. 2024 Energies review (10.3390/en17205160)
B080,10.1016/j.enbuild.2016.10.056,athens:Foustalieraki et al. 2017,B,greening,,,Foustalieraki et al. 2017,Energy performance of a medium scale green roof system installed on a commercial building using numerical and experimental data recorded during the cold period of the year,Energy and Buildings,Athens,Greece,green roof heating-season energy performance,building monitoring + simulation,Knight et al. 2021 Environ Evid (Additional file 7)
B081,10.1016/j.enbuild.2017.03.036,tbd:Perini et al. 2017,B,greening,,,Perini et al. 2017,The use of vertical greening systems to reduce the energy demand for air conditioning. Field monitoring in Mediterranean climate,Energy and Buildings,TBD,Italy,vertical greening reduced AC energy demand,building field monitoring,Knight et al. 2021 Environ Evid (Additional file 7)
B082,10.1016/j.enbuild.2017.05.052,beijing:Xu et al. 2017,B,greening,,,Xu et al. 2017,"The cooling and energy saving effect of landscape design parameters of urban park in summer: A case of Beijing, China",Energy and Buildings,Beijing,China,park cooling and energy-saving effect,field measurement of parks,Knight et al. 2021 Environ Evid (Additional file 7); also in Aram et al. 2019
B083,10.1016/j.enbuild.2018.07.005,tbd:Kolokotroni_2018,B,cool_roof,,,Kolokotroni_2018,Cool roofs: High tech low cost solution for energy efficiency and thermal comfort in low rise low income houses in high solar radiation countries,Energy and Buildings,TBD,Jamaica,ceiling surface temp -6.8 C; indoor air -2.3 C after cool paint,pre/post monitoring of single-storey house + calibrated models for Brazil and Ghana,Rawat & Singh 2022 (10.1016/j.enbenv.2021.03.001)
B084,10.1016/j.enbuild.2018.10.025,national-(social-housing):vandenBrom_Meijer_Visscher_2019,B,retrofit,,,vandenBrom_Meijer_Visscher_2019,Actual energy saving effects of thermal renovations in dwellings - longitudinal data analysis including building and occupant characteristics,Energy and Buildings,national (social housing),Netherlands,~90000 renovated dwellings; 57% saved less than predicted; deep renovations gave highest absolute measured savings,longitudinal pre/post actual vs calculated consumption analysis,Sustainability 2024 16:7792 EPG-LCA review (10.3390/su16177792); full text fetched from TU Delft
B085,10.1016/j.enbuild.2020.110071,sydney-(region):Green_2020,B,cool_roof,,,Green_2020,Above-roof air temperature effects on HVAC and cool roof performance: Experiments and development of a predictive model,Energy and Buildings,Sydney (region),Australia,Above-roof air averaged +2.53C by day and -1.33C at night vs ambient over three large shopping-centre roofs; ignoring this underestimates cool roof HVAC savings by 44-85%,Field experiments (6 weeks per building) on three in-service large-footprint buildings plus empirical model,ScienceDirect via doi.org
B086,10.1016/j.enbuild.2020.110235,national:Cozza_Chambers_Deb_Scartezzini_Schluter_Patel_2020,B,retrofit,,,Cozza_Chambers_Deb_Scartezzini_Schluter_Patel_2020,Do energy performance certificates allow reliable predictions of actual energy consumption and savings? Learning from the Swiss national database,Energy and Buildings,national,Switzerland,median energy saving gap of 37% across 1172 retrofitted buildings (measured vs EPC-predicted savings),pre/post measured vs predicted savings from national EPC database,Sustainability 2024 16:7792 EPG-LCA review
B087,10.1016/j.enbuild.2021.110993,tbd:Saber_2021,B,cool_roof,,,Saber_2021,"Experimental characterization of reflective coating material for cool roofs in hot, humid and dusty climate",Energy and Buildings,TBD,Saudi Arabia,reflective coating maintains high solar reflectivity and cooling benefit when cleaned regularly in dusty climate,field experimental characterization of roof coating,Aggarwal & Molleti 2024 (10.3390/buildings14082257)
B088,10.1016/j.enbuild.2021.111299,kobe:Takebayashi_2021,B,combined,,,Takebayashi_2021,Study on appropriate heat mitigation technologies for urban block redevelopment based on demonstration experiments in Kobe city,Energy and Buildings,Kobe,Japan,Measured effects of implemented measures: road watering cut surface temp ~10C / MRT 1.9C / SET* 0.8C; fractal sunshade+mist cut MRT ~15C and SET* ~7C; water surface cut surface temp ~15C,Field demonstration experiments of five implemented heat countermeasures evaluated with SET*,fetched via doi.org
B089,10.1016/j.energy.2006.11.011,athens:Santamouris et al. 2007,B,greening,,,Santamouris et al. 2007,"Investigating and analysing the energy and environmental performance of an experimental green roof system installed in a nursery school building in Athens, Greece",Energy,Athens,Greece,green roof cooling load reduction,building measurement + simulation,Nasr et al. 2024 Energies review (10.3390/en17205160)
B090,10.1016/j.energy.2015.01.092,singapore:Zingre_2015b,B,cool_roof,,,Zingre_2015b,Modeling of cool roof performance for double-skin roofs in tropical climate,Energy,Singapore,Singapore,roof temp difference -15 C coated vs uncoated; peak indoor -2.4 C; daily heat gain -51%,"paired identical naturally ventilated apartments, pre/post coating",Rawat & Singh 2022 (10.1016/j.enbenv.2021.03.001)
B091,10.1016/j.enpol.2012.11.008,national:Majcen_Itard_Visscher_2013,B,retrofit,,,Majcen_Itard_Visscher_2013,Theoretical vs. actual energy consumption of labelled dwellings in the Netherlands: discrepancies and policy implications,Energy Policy,national,Netherlands,actual consumption of poorly labelled dwellings well below theoretical predictions (performance gap),cross-sectional measured vs calculated consumption (200k+ dwellings),Filippidou et al. 2019 Energy Efficiency reference list; also cited in Sustainability 2024 16:7792
B092,10.1016/j.enpol.2013.04.004,national-(gb):Hamilton_2013,B,retrofit,,,Hamilton_2013,Energy efficiency in the British housing stock: energy demand and the homes energy efficiency database,Energy Policy,national (GB),UK,measured demand reductions following loft/cavity insulation double glazing and efficient boilers,dwelling-level metered consumption analysis (HEED),Adan & Fuerst 2016 Energy Efficiency reference list
B093,10.1016/j.enpol.2013.05.037,national-(england):Wyatt_2013,B,retrofit,,,Wyatt_2013,A dwelling-level investigation into the physical and socio-economic drivers of domestic energy consumption in England,Energy Policy,national (England),UK,median measured gas savings 13.5-19.5% for cavity wall insulation/condensing boiler; 8.4-12.2% for loft insulation,annualized metered consumption analysis (HEED/NEED),Adan & Fuerst 2016 Energy Efficiency reference list
B094,10.1016/j.enpol.2016.07.015,national:Majcen_Itard_Visscher_2016,B,retrofit,,,Majcen_Itard_Visscher_2016,Actual heating energy savings in thermally renovated Dutch dwellings,Energy Policy,national,Netherlands,measured heating energy savings after label-improving renovations lower than predicted,pre/post billing analysis linked to energy label data,van den Brom et al. 2019 Energy & Buildings reference list
B095,10.1016/j.enpol.2018.03.051,national:Tonn_Rose_Hawkins_2018,B,retrofit,,,Tonn_Rose_Hawkins_2018,Evaluation of the U.S. Department of Energy's weatherization assistance program: impact results,Energy Policy,national,USA,measured billing savings from national WAP impact evaluation,quasi-experimental billing analysis,Giandomenico et al. 2022 Annu Rev Resour Econ
B096,10.1016/j.enpol.2021.112576,national:Coyne_Denny_2021,B,retrofit,,,Coyne_Denny_2021,Retrofit effectiveness: Evidence from a nationwide residential energy efficiency programme,Energy Policy,national,Ireland,whole-home energy use -1091 kWh/yr on average; only external wall insulation high-efficiency boilers and solar heating gave significant reductions,ex-post billing analysis of 8572 homes with control groups,WCPP 2021 international retrofit programmes report (fetched)
B097,10.1016/j.envpol.2011.03.007,"new-york:Susca, Gaffin & Dell'Osso 2011",B,greening,,,"Susca, Gaffin & Dell'Osso 2011",Positive effects of vegetation: Urban heat island and green roofs,Environmental Pollution,New York,USA,vegetation/green roof temperature monitoring across city sites,multi-site field monitoring,Knight et al. 2021 Environ Evid (Additional file 7)
B098,10.1016/j.envpol.2011.03.009,shanghai:Yin et al. 2011,B,greening,,,Yin et al. 2011,"Quantifying air pollution attenuation within urban parks: an experimental approach in Shanghai, China",Environmental Pollution,Shanghai,China,air pollution attenuation within parks,in-park experimental measurement,Knight et al. 2021 Environ Evid (Additional file 7)
B099,10.1016/j.envpol.2012.11.010,tbd:Setala et al. 2013,B,greening,,,Setala et al. 2013,Does urban vegetation mitigate air pollution in northern conditions?,Environmental Pollution,TBD,Finland,vegetation vs open site pollutant concentrations,paired site observational,Knight et al. 2021 Environ Evid (Additional file 7)
B100,10.1016/j.envpol.2013.01.002,munich:Qadir_2013,B,low_emission_zone,,,Qadir_2013,"Concentrations and source contributions of particulate organic matter before and after implementation of a low emission zone in Munich, Germany",Environmental Pollution,Munich,Germany,Elemental carbon -60% after LEZ,"before/after PM sampling (t-test, matrix factorisation)",Delgado-Lindeman 2025 ETRR review
B101,10.1016/j.envpol.2014.02.026,tbd:Grundstrom & Pleijel 2014,B,greening,,,Grundstrom & Pleijel 2014,Limited effect of urban tree vegetation on NO2 and O3 concentrations near a traffic route,Environmental Pollution,TBD,Sweden,tree vegetation effect on NO2/O3 near traffic,near-road field measurement,Knight et al. 2021 Environ Evid (Additional file 7)
B102,10.1016/j.envpol.2014.08.015,"tel-aviv:Cohen, Potchter & Schnell 2014",B,greening,,,"Cohen, Potchter & Schnell 2014","The impact of an urban park on air pollution and noise levels in the Mediterranean city of Tel-Aviv, Israel",Environmental Pollution,Tel Aviv,Israel,park effect on air pollution and noise,in-park vs street measurement,Knight et al. 2021 Environ Evid (Additional file 7)
B103,10.1016/j.envpol.2015.02.026,tbd:Tong et al. 2015,B,greening,,,Tong et al. 2015,Quantifying the effect of vegetation on near-road air quality using brief campaigns,Environmental Pollution,TBD,USA,near-road vegetation effect on air quality,brief field campaigns,Vigevani et al. 2024 Atmos Environ X (10.1016/j.aeaoa.2023.100233)
B104,10.1016/j.envpol.2015.09.006,tbd:Chen et al. 2016,B,greening,,,Chen et al. 2016,Experimental examination of effectiveness of vegetation as bio-filter of particulate matters in the urban environment,Environmental Pollution,TBD,China,vegetation bio-filter effect on PM concentrations,experimental field measurement,Vigevani et al. 2024 Atmos Environ X (10.1016/j.aeaoa.2023.100233)
B105,10.1016/j.envpol.2019.01.016,madrid:Gomez-Moreno et al. 2019,B,greening,,,Gomez-Moreno et al. 2019,Urban vegetation and particle air pollution: experimental campaigns in a traffic hotspot,Environmental Pollution,Madrid,Spain,vegetation effect on particle concentrations at traffic hotspot,experimental field campaigns,Vigevani et al. 2024 Atmos Environ X (10.1016/j.aeaoa.2023.100233)
B106,10.1016/j.envpol.2019.01.040,paris-and-london:Font_2019,B,low_emission_zone,,,Font_2019,A tale of two cities: Is air pollution improving in Paris and London?,Environmental Pollution,Paris and London,France/UK,"NO2 -5 to -6%/yr from 2010; PM10 -5 to -8%; PM2.5 -11% Paris, not significant London",monitoring trend analysis 2005-2016 (linear mixed-effects),Delgado-Lindeman 2025 ETRR review
B107,10.1016/j.envpol.2020.114884,tbd:Abhijith & Kumar 2020,B,greening,,,Abhijith & Kumar 2020,Quantifying particulate matter reduction and their deposition on the leaves of green infrastructure,Environmental Pollution,TBD,UK,PM reduction and leaf deposition at green infrastructure,field measurement,Vigevani et al. 2024 Atmos Environ X (10.1016/j.aeaoa.2023.100233)
B108,10.1016/j.habitatint.2004.04.008,singapore:Wong & Yu 2005,B,greening,,,Wong & Yu 2005,Study of green areas and urban heat island in a tropical city,Habitat International,Singapore,Singapore,green area cooling and UHI pattern,mobile traverse measurement,Aram et al. 2019 Heliyon; also in Knight et al. 2021
B109,10.1016/j.habitatint.2017.07.009,tbd:Qiu et al. 2017,B,greening,,,Qiu et al. 2017,Experimental studies on the effects of green space and evapotranspiration on urban heat island in a subtropical megacity in China,Habitat International,TBD,China,green space evapotranspiration and UHI reduction,experimental field measurement,Knight et al. 2021 Environ Evid (Additional file 7)
B110,10.1016/j.jclepro.2020.123306,tbd:Srbinovska et al. 2021,B,greening,,,Srbinovska et al. 2021,The effect of small green walls on reduction of particulate matter concentration in open areas,Journal of Cleaner Production,TBD,North Macedonia,small green wall PM concentration reduction,field measurement near green wall,Vigevani et al. 2024 Atmos Environ X (10.1016/j.aeaoa.2023.100233)
B111,10.1016/j.jeem.2017.02.003,44-lez-cities-vs-38-controls:Gehrsitz_2017,B,low_emission_zone,,,Gehrsitz_2017,The effect of low emission zones on air pollution and infant health,Journal of Environmental Economics and Management,44 LEZ cities vs 38 controls,Germany,PM10 -4%; ~3 fewer exceedance days; no clear infant health effect,difference-in-differences (monitoring stations),Delgado-Lindeman 2025 ETRR review; also included in Lancet Public Health 2023 review
B112,10.1016/j.jeem.2017.09.001,phoenix-az:Liang_2018,B,retrofit,,,Liang_2018,Do energy retrofits work? Evidence from commercial and residential buildings in Phoenix,Journal of Environmental Economics and Management,Phoenix AZ,USA,measured energy savings in retrofitted commercial and residential buildings; insulation/thermostats most effective,panel econometric analysis of metered consumption,Giandomenico et al. 2022 Annu Rev Resour Econ
B113,10.1016/j.jeem.2021.102512,multiple-cities:Pestel_Wozny_2021,B,low_emission_zone,,,Pestel_Wozny_2021,Health effects of Low Emission Zones: evidence from German hospitals,Journal of Environmental Economics and Management,multiple cities,Germany,PM10 -6% (1.3 ug/m3); NO2 -5% (1.6 ug/m3); CVD inpatient share -9%,difference-in-differences (hospital and monitoring data 2006-2016),Lancet Public Health 2023 review
B114,10.1016/j.jenvman.2021.114048,berlin-and-munich:Gu_2022,B,low_emission_zone,,,Gu_2022,"Low emission zones reduced PM10 but not NO2 concentrations in Berlin and Munich, Germany",Journal of Environmental Management,Berlin and Munich,Germany,PM10 reduced; NO2 not reduced,before/after monitoring statistical evaluation,Delgado-Lindeman 2025 ETRR review
B115,10.1016/j.jhazmat.2018.11.061,lisbon:Santos_2019,B,low_emission_zone,,,Santos_2019,Impact of the implementation of Lisbon low emission zone on air quality,Journal of Hazardous Materials,Lisbon,Portugal,PM10 -29%; NO2 -12%; PM2.5 and NOx not significant,before/after monitoring (ANOVA on station data),Delgado-Lindeman 2025 ETRR review
B116,10.1016/j.jpubeco.2023.105014,multiple-cities:Sarmiento_2023,B,low_emission_zone,,,Sarmiento_2023,The air quality and well-being effects of low emission zones,Journal of Public Economics,multiple cities,Germany,PM10 -1.9 ug/m3; NO2 -3.5 ug/m3 (both p<0.01); hypertension -4.6%,difference-in-differences (staggered LEZ rollout),"Lancet Public Health 2023 review (10.1016/S2468-2667(23)00120-2), preprint version; DOI from ETRR 2025 review"
B117,10.1016/j.landurbplan.2006.09.005,"taipei:Chang, Li & Chang 2007",B,greening,,,"Chang, Li & Chang 2007",A preliminary study on the local cool-island intensity of Taipei city parks,Landscape and Urban Planning,Taipei,Taiwan,park cool island intensity across many parks,paired park vs surroundings measurement,Knight et al. 2021 Environ Evid (Additional file 7)
B118,10.1016/j.landurbplan.2009.04.005,sde-boqer-(negev):ShashuaBar_2009,B,combined,,,ShashuaBar_2009,The cooling efficiency of urban landscape strategies in a hot dry climate,Landscape and Urban Planning,Sde Boqer (Negev),Israel,Six combined treatments of trees + lawn + shade mesh in courtyards; shade trees + grass gave daytime air temp depression up to 2.5K; shading grass cut irrigation water >50% (synergy),"Paired semi-enclosed courtyard field experiment, summer season",Cited (with 2011 companion) in Akbari et al. 2016 JCEM review; abstract fetched
B119,10.1016/j.landurbplan.2010.03.008,tbd:Cao et al. 2010,B,greening,,,Cao et al. 2010,Quantifying the cool island intensity of urban parks using ASTER and IKONOS data,Landscape and Urban Planning,TBD,Japan,park cool island intensity (surface temperature),satellite remote sensing of parks,Aram et al. 2019 Heliyon
B120,10.1016/j.landurbplan.2013.11.002,athens:Skoulika et al. 2014,B,greening,,,Skoulika et al. 2014,"On the thermal characteristics and the mitigation potential of a medium size urban park in Athens, Greece",Landscape and Urban Planning,Athens,Greece,park cool island intensity,fixed station measurement,Knight et al. 2021 Environ Evid (Additional file 7); also in Aram et al. 2019
B121,10.1016/j.landurbplan.2013.12.008,"addis-ababa:Feyisa, Dons & Meilby 2014",B,greening,,,"Feyisa, Dons & Meilby 2014",Efficiency of parks in mitigating urban heat island effect: An example from Addis Ababa,Landscape and Urban Planning,Addis Ababa,Ethiopia,park cooling intensity and distance,transect measurement across parks,Knight et al. 2021 Environ Evid (Additional file 7); also in Aram et al. 2019
B122,10.1016/j.landurbplan.2015.06.005,tbd:Gillner et al. 2015,B,greening,,,Gillner et al. 2015,Role of street trees in mitigating effects of heat and drought at highly sealed urban sites,Landscape and Urban Planning,TBD,Germany,street tree species cooling at sealed sites,field measurement of tree species,Knight et al. 2021 Environ Evid (Additional file 7)
B123,10.1016/j.landurbplan.2018.10.022,seoul:Park_2019,B,combined,,,Park_2019,Influence of urban form on the cooling effect of a small urban river,Landscape and Urban Planning,Seoul,South Korea,Restored Cheonggye River mean cooling intensity 0.46C over 32.7 m at 2pm and 0.37C over 37.2 m at 10pm; modulated by street width and building height,Summer field transect measurements around implemented restored urban river,full-text PDF fetched from DTU Orbit repository
B124,10.1016/j.landurbplan.2024.105206,barcelona:Sanz-Mas_2024,B,combined,,,Sanz-Mas_2024,"Evaluating the effect of green, blue, and gray measures for climate change adaptation on children's well-being in schoolyards in Barcelona",Landscape and Urban Planning,Barcelona,Spain,After green + blue (fountains) + gray (shade) schoolyard transformations in 11 schools: reduced heat sensation and improved comfort vs 10 comparison schools,Pre-post quasi-experimental difference-in-differences evaluation of implemented interventions,ScienceDirect via doi.org
B125,10.1016/j.proenv.2017.03.103,athens:Androutsopoulos_2017,B,cool_roof,,,Androutsopoulos_2017,"Cool roof impacts on a school-building thermal and energy performance in Athens, Greece",Procedia Environmental Sciences,Athens,Greece,measured daily mean indoor air temp -1.6 to -1.9 C; estimated cooling demand -30% (heating penalty 12%),pilot school with cool roof vs twin reference school building monitoring,Rawat & Singh 2022 (10.1016/j.enbenv.2021.03.001)
B126,10.1016/j.renene.2007.03.022,athens:Spala et al. 2008,B,greening,,,Spala et al. 2008,"On the green roof system. Selection, state of the art and energy potential investigation of a system installed in an office building in Athens, Greece",Renewable Energy,Athens,Greece,office building green roof energy potential,building measurement,Nasr et al. 2024 Energies review (10.3390/en17205160)
B127,10.1016/j.renene.2009.07.022,islamabad:Ahmad_2010,B,cool_roof,,,Ahmad_2010,Performance of antisolar insulated roof system,Renewable Energy,Islamabad,Pakistan,AC energy saving ~45 kWh/day on 20.8 m2 experimental roof; reduced winter heat loss,experimental roof system monitoring on real building,Rawat & Singh 2022 (10.1016/j.enbenv.2021.03.001)
B128,10.1016/j.renene.2009.12.021,athens:Tsiros 2010,B,greening,,,Tsiros 2010,Assessment and energy implications of street air temperature cooling by shade trees in Athens (Greece) under extremely hot weather conditions,Renewable Energy,Athens,Greece,street tree cooling and building energy implications,field measurement,Knight et al. 2021 Environ Evid (Additional file 7)
B129,10.1016/j.renene.2014.09.045,singapore:Zingre_2015a,B,cool_roof,,,Zingre_2015a,Modelling of cool roof heat transfer in tropical climate,Renewable Energy,Singapore,Singapore,roof surface -5.4 C; daily heat gain -54%,cool roof heat transfer model validated with field experiments on real apartments,Rawat & Singh 2022 (10.1016/j.enbenv.2021.03.001)
B130,10.1016/j.renene.2020.01.085,"tbd:Bevilacqua, Bruno & Arcuri 2020",B,greening,,,"Bevilacqua, Bruno & Arcuri 2020",Green roofs in a Mediterranean climate: energy performances based on in-situ experimental data,Renewable Energy,TBD,Italy,green roof annual cooling energy saving ~35% (non-insulated roof),in-situ monitoring + calibrated simulation,Nasr et al. 2024 Energies review; abstract fetched from publisher
B131,10.1016/j.scitotenv.2011.12.002,tbd:Hagler et al. 2012,B,greening,,,Hagler et al. 2012,Field investigation of roadside vegetative and structural barrier impact on near-road ultrafine particle concentrations under a variety of wind conditions,Science of the Total Environment,TBD,USA,roadside vegetation barrier effect on ultrafine particles,near-road field measurement,Vigevani et al. 2024 Atmos Environ X (10.1016/j.aeaoa.2023.100233)
B132,10.1016/j.scitotenv.2012.06.089,5-cities:Boogaard_2012,B,low_emission_zone,,,Boogaard_2012,Impact of low emission zones and local traffic policies on ambient air pollution concentrations,Science of the Total Environment,5 cities,Netherlands,"LEZ alone (old HDV) no significant change; streets with combined policies: soot -41%, NOx -36%, NO2 -25% vs -22%/-14%/-7% at controls",before/after monitoring at 8 locations with control sites,Delgado-Lindeman 2025 ETRR review
B133,10.1016/j.scitotenv.2012.10.101,tbd:Salmond et al. 2013,B,greening,,,Salmond et al. 2013,The influence of vegetation on the horizontal and vertical distribution of pollutants in a street canyon,Science of the Total Environment,TBD,New Zealand,street trees effect on pollutant distribution in canyon,street canyon field measurement,Knight et al. 2021 Environ Evid (Additional file 7)
B134,10.1016/j.scitotenv.2014.06.048,"london:Doick, Peace & Hutchings 2014",B,greening,,,"Doick, Peace & Hutchings 2014",The role of one large greenspace in mitigating London's nocturnal urban heat island,Science of the Total Environment,London,UK,nocturnal cooling extent of large greenspace,transect + station measurement,Knight et al. 2021 Environ Evid (Additional file 7); also in Aram et al. 2019
B135,10.1016/j.scitotenv.2016.02.035,tbd:Lin et al. 2016,B,greening,,,Lin et al. 2016,The effects of vegetation barriers on near-road ultrafine particle number and carbon monoxide concentrations,Science of the Total Environment,TBD,USA,vegetation barrier reduction of UFP and CO near road,near-road field measurement,Vigevani et al. 2024 Atmos Environ X (10.1016/j.aeaoa.2023.100233)
B136,10.1016/j.scitotenv.2017.11.327,"tbd:Yan, Wu & Dong 2018",B,greening,,,"Yan, Wu & Dong 2018",Influence of a large urban park on the local urban thermal environment,Science of the Total Environment,TBD,China,large park influence on local thermal environment,station network observation,Knight et al. 2021 Environ Evid (Additional file 7); also in Aram et al. 2019
B137,10.1016/j.scitotenv.2018.12.262,tbd:Ozdemir 2019,B,greening,,,Ozdemir 2019,Mitigation impact of roadside trees on fine particle pollution,Science of the Total Environment,TBD,Turkey,roadside trees effect on fine particle concentrations,roadside field measurement,Vigevani et al. 2024 Atmos Environ X (10.1016/j.aeaoa.2023.100233)
B138,10.1016/j.scs.2010.12.001,tirana:Fintikakis_2011,B,combined,,,Fintikakis_2011,"Bioclimatic design of open public spaces in the historic centre of Tirana, Albania",Sustainable Cities and Society,Tirana,Albania,25000 m2 bioclimatic rehabilitation combining IR-reflective cool pavements + greenery + shading; pavement surface up to 8C cooler (measured); ambient -2.1C (model-estimated),Implemented urban regeneration with surface/microclimate monitoring + simulation,Urban Climate 2023 cool pavements systematic review; Akbari et al. 2016 JCEM
B139,10.1016/j.scs.2015.03.003,perugia:Pisello_2015,B,cool_roof,,,Pisello_2015,Thermal-energy analysis of roof cool clay tiles for application in historic buildings and cities,Sustainable Cities and Society,Perugia,Italy,significantly reduced attic temperatures and cooling energy in historic building; CO2 reduction,monitored historic building retrofit with cool clay tiles,Aggarwal & Molleti 2024 (10.3390/buildings14082257)
B140,10.1016/j.scs.2017.11.035,acharnes-(athens):Kolokotsa_2018,B,combined,,,Kolokotsa_2018,"Cool roofs and cool pavements application in Acharnes, Greece",Sustainable Cities and Society,Acharnes (Athens),Greece,Combined cool roofs (municipal building) + cool paving stones (square/sidewalk); pavement surface -10K (measured); 17% annual cooling energy demand reduction,"Field monitoring (meteorological, surface temp, thermal imaging) of implemented measures + EnergyPlus/ENVI-met models",Urban Climate 2023 cool pavements systematic review (Table 5)
B141,10.1016/j.tra.2015.04.029,25-cities:Malina_Scheffler_2015,B,low_emission_zone,,,Malina_Scheffler_2015,The impact of low emission zones on particulate matter concentration and public health,Transportation Research Part A,25 cities,Germany,PM10 -19%; estimated 379-840 premature deaths avoided,before/after monitoring regression with meteorological controls,Delgado-Lindeman 2025 ETRR review
B142,10.1016/j.trd.2013.03.010,london:Ellison_2013,B,low_emission_zone,,,Ellison_2013,Five years of London's low emission zone: Effects on vehicle fleet composition and air quality,Transportation Research Part D,London,UK,Vehicle fleet composition shift and air quality change over five years of the London LEZ,before/after fleet and monitoring data analysis,found via Crossref bibliographic search; verified title match 1.0
B143,10.1016/j.trd.2020.102689,madrid:Salas_2021,B,low_emission_zone,,,Salas_2021,Were traffic restrictions in Madrid effective at reducing NO2 levels?,Transportation Research Part D,Madrid,Spain,NO2 reduction inside Madrid Central (review: Madrid studies report NO2 -9.5% to -38%),before/after monitoring with statistical controls,Delgado-Lindeman 2025 ETRR review
B144,10.1016/j.uclim.2013.01.001,manchester:Speak et al. 2013,B,greening,,,Speak et al. 2013,Reduction of the urban cooling effects of an intensive green roof due to vegetation damage,Urban Climate,Manchester,UK,intensive green roof air temperature cooling,paired roof measurement,Knight et al. 2021 Environ Evid (Additional file 7)
B145,10.1016/j.uclim.2015.02.001,tbd:Fantozzi et al. 2015,B,greening,,,Fantozzi et al. 2015,Spatio-temporal variations of ozone and nitrogen dioxide concentrations under urban trees and in a nearby open area,Urban Climate,TBD,Italy,O3 and NO2 under tree canopy vs open area,paired site field measurement,Knight et al. 2021 Environ Evid (Additional file 7)
B146,10.1016/j.uclim.2016.02.003,paris:Hendel_2016,B,combined,,,Hendel_2016,Measuring the effects of urban heat island mitigation techniques in the field: application to the case of pavement-watering in Paris,Urban Climate,Paris,France,"Operational street pavement-watering (city cleaning water network); field-measured air temperature, humidity and UTCI thermal comfort improvements at watered vs control streets",Paired watered/control street field monitoring over summers 2013-2014,Hendel 2016 PhD thesis (fetched) and citing record pages
B147,10.1016/j.uclim.2017.02.002,athens:Kyriakodis_2018,B,cool_roof,,,Kyriakodis_2018,Using reflective pavements to mitigate urban heat island in warm climates - results from a large scale urban mitigation project,Urban Climate,Athens,Greece,pavement surface -11 C (37000 m2 reflective asphalt + photocatalytic concrete),monitored large-scale urban mitigation project,Kousis & Pisello 2023 (10.1016/j.uclim.2023.101470)
B148,10.1016/j.ufug.2009.10.002,nagoya:Hamada & Ohta 2010,B,greening,,,Hamada & Ohta 2010,Seasonal variations in the cooling effect of urban green areas on surrounding urban areas,Urban Forestry & Urban Greening,Nagoya,Japan,seasonal cooling of green area on surroundings,transect field measurement,Aram et al. 2019 Heliyon
B149,10.1016/j.ufug.2011.10.001,hong-kong:Jim & Peng 2012,B,greening,,,Jim & Peng 2012,Weather effect on thermal and energy performance of an extensive tropical green roof,Urban Forestry & Urban Greening,Hong Kong,China,green roof thermal/energy performance by weather,instrumented roof monitoring,Knight et al. 2021 Environ Evid (Additional file 7)
B150,10.1016/j.ufug.2013.03.002,"tbd:Vailshery, Jaganmohan & Nagendra 2013",B,greening,,,"Vailshery, Jaganmohan & Nagendra 2013",Effect of street trees on microclimate and air pollution in a tropical city,Urban Forestry & Urban Greening,TBD,India,street tree effects on temperature and air pollution,paired street segment measurement,Vigevani et al. 2024 Atmos Environ X; also in Knight et al. 2021
B151,10.1016/j.ufug.2015.11.013,"adelaide:Razzaghmanesh, Beecham & Salemi 2016",B,greening,,,"Razzaghmanesh, Beecham & Salemi 2016","The role of green roofs in mitigating Urban Heat Island effects in the metropolitan area of Adelaide, South Australia",Urban Forestry & Urban Greening,Adelaide,Australia,green roof UHI mitigation (temperature),field monitoring,Knight et al. 2021 Environ Evid (Additional file 7)
B152,10.1016/j.ufug.2016.02.008,london:Vaz Monteiro et al. 2016,B,greening,,,Vaz Monteiro et al. 2016,The impact of greenspace size on the extent of local nocturnal air temperature cooling in London,Urban Forestry & Urban Greening,London,UK,greenspace size vs nocturnal cooling extent,station network observation,Knight et al. 2021 Environ Evid (Additional file 7); also in Aram et al. 2019
